Bowler Name,Overs,Maidens,Runs Conceded,Economy,0s,4s,6s,WD,NB
Chamika Karunaratne,12.0,1.0,73.0,11.440000000000001,34.0,2.0,2.0,8.0,0.0
Virat Kohli,3.3,0.0,15.0,8.33,11.0,1.0,0.0,0.0,0.0
Nasum Ahmed,24.3,0.0,172.0,20.21,62.0,14.0,8.0,1.0,0.0
Hasan Mahmud,14.0,0.0,132.0,19.28,34.0,8.0,9.0,2.0,2.0
Usama Mir,35.0,0.0,248.0,28.200000000000003,90.0,18.0,11.0,6.0,1.0
Dushan Hemantha,16.0,0.0,94.0,11.75,40.0,5.0,3.0,0.0,1.0
David Willey,51.0,6.0,259.0,30.380000000000003,185.0,30.0,5.0,7.0,1.0
Gus Atkinson,24.0,0.0,146.0,18.13,81.0,13.0,7.0,4.0,0.0
Mohammed Shami,48.5,4.0,257.0,35.97,183.0,27.0,7.0,9.0,0.0
Noor Ahmad,38.0,1.0,182.0,19.080000000000002,122.0,11.0,3.0,11.0,1.0
Lizaad Williams,8.4,1.0,56.0,6.46,33.0,7.0,2.0,5.0,0.0
Angelo Mathews,22.1,2.0,107.0,24.59,69.0,11.0,0.0,2.0,0.0
Aiden Markram,18.3,1.0,85.0,21.92,63.0,6.0,3.0,2.0,0.0
Mohammad Wasim,38.1,2.0,215.0,22.189999999999998,122.0,22.0,4.0,7.0,0.0
Shariz Ahmad,2.0,0.0,13.0,6.5,5.0,2.0,0.0,0.0,0.0
Dushmantha Chameera,31.2,3.0,196.0,24.31,99.0,21.0,7.0,2.0,0.0
Najmul Hossain Shanto,1.0,0.0,5.0,5.0,4.0,1.0,0.0,0.0,0.0
Tim Southee,33.0,0.0,256.0,29.6,85.0,21.0,14.0,2.0,0.0
Agha Salman,5.0,0.0,46.0,18.83,10.0,5.0,2.0,1.0,0.0
Ish Sodhi,4.0,0.0,44.0,11.0,6.0,3.0,3.0,1.0,0.0
Travis Head,21.0,0.0,101.0,22.3,60.0,6.0,3.0,1.0,0.0
Tanzim Hasan Sakib,10.0,0.0,80.0,8.0,27.0,8.0,4.0,2.0,0.0
Andile Phehlukwayo,7.0,0.0,36.0,5.14,20.0,4.0,0.0,0.0,0.0
Rahmat Shah,1.0,0.0,12.0,12.0,2.0,1.0,1.0,0.0,0.0
Sean Abbott,10.0,0.0,61.0,6.1,29.0,4.0,2.0,0.0,1.0
Shubman Gill,2.0,0.0,11.0,5.5,4.0,1.0,0.0,0.0,0.0
Suryakumar Yadav,2.0,0.0,17.0,8.5,5.0,0.0,2.0,0.0,0.0
Rohit Sharma,0.5,0.0,7.0,8.4,3.0,0.0,1.0,0.0,0.0
