Time,Stadium,City,Team 1,Team 2,Won_Toss,Decision_Toss,Team 1 Runs Scored,Team 1 Wickets Lost,Team 1 Overs,Team 2 Runs Scored,Team 2 Wickets Lost,Team 2 Overs,Team 1 PP-1 Runs Scored,Team 1 PP-1 Wickets Lost,Team 1 PP-2 Runs Scored,Team 1 PP-2 Wickets Lost,Team 1 PP-3 Runs Scored,Team 1 PP-3 Wickets Lost,Team 2 PP-1 Runs Scored,Team 2 PP-1 Wickets Lost,Team 2 PP-2 Runs Scored,Team 2 PP-2 Wickets Lost,Team 2 PP-3 Runs Scored,Team 2 PP-3 Wickets Lost,MOM,Winner
DN,Narendra Modi Stadium,Ahmedabad,England,New Zealand,New Zealand,field,282,9,50.0,283,1,36.2,51,1,173,5,58,3,81,1,202,0,0,0,Rachin Ravindra,New Zealand
DN,Rajiv Gandhi International Stadium,Hyderabad,Netherlands,Pakistan,Netherlands,field,286,10,49.0,205,10,41.0,43,3,184,3,59,4,47,1,155,8,5,1,Saud Shakeel,Pakistan
D,Himachal Pradesh Cricket Association Stadium,Dharamsala,Afghanistan,Bangladesh,Bangladesh,field,156,10,37.2,158,4,34.4,50,1,106,9,0,0,44,2,114,2,0,0,Mehidy Hasan Miraz,Bangladesh
DN,Arun Jaitley Stadium,Delhi,South Africa,Sri Lanka,Sri Lanka,field,428,5,50.0,326,10,44.5,48,1,243,2,137,2,94,2,197,6,35,2,Aiden Markram,South Africa
DN,MA Chidambaram Stadium,Chennai,India,Australia,Australia,bat,199,10,49.3,201,4,41.2,43,1,113,6,43,3,27,3,155,1,19,0,KL Rahul,India
DN,Rajiv Gandhi International Stadium,Hyderabad,Netherlands,New Zealand,Netherlands,field,322,7,50.0,223,10,46.3,63,0,175,3,84,4,35,1,161,6,27,3,Mitchell Santner,New Zealand
D,Himachal Pradesh Cricket Association Stadium,Dharamsala,Bangladesh,England,Bangladesh,field,364,9,50.0,227,10,48.2,61,0,237,3,66,6,57,4,134,3,36,3,Dawid Malan,England
DN,Rajiv Gandhi International Stadium,Hyderabad,Pakistan,Sri Lanka,Sri Lanka,bat,344,9,50.0,345,4,48.2,58,1,225,3,61,5,48,2,223,1,74,1,Mohammad Rizwan,Pakistan
DN,Arun Jaitley Stadium,Delhi,India,Afghanistan,Afghanistan,bat,272,8,50.0,273,2,35.0,48,1,163,3,61,4,94,0,179,2,0,0,Rohit Sharma,India
DN,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow,Australia,South Africa,Australia,field,311,7,50.0,177,10,40.5,53,0,179,3,79,4,50,3,124,5,3,2,Quinton de Kock,South Africa
